year,wildcatch_val,state,aqua_val,wildcatch_vol,aqua_vol,total_val,aqua_share_val,total_vol,aqua_share_vol
1999–00,87961.9,NSW,42041,15723.1,6284.3,130002.9,0.3233850937171402,22007.4,0.28555395003498824
2000–01,104394.9,NSW,42244.6,17659.8,6027,146639.5,0.2880847247842498,23686.8,0.2544455139571407
2001–02,95101.5,NSW,43698.5,17180.7,6588.9,138800,0.3148306916426513,23769.6,0.2771986066235864
2002–03,104433.3,NSW,48585.7,18124.1,7060.5,153019,0.31751416490762585,25184.6,0.2803498963652391
2003–04,89711.2,NSW,49647.5,18240.3,6837.9,139358.7,0.3562569111221617,25078.199999999997,0.27266310979256886
2004–05,79614,NSW,48372.2,16685,5742.2,127986.2,0.3779485600791335,22427.2,0.25603731183562817
2005–06,81017.2,NSW,45026.9,16194.2,5212.3,126044.1,0.35723131824496346,21406.5,0.2434914628734263
2006–07,87400.7,NSW,45975,16859.7,5200,133375.7,0.34470297063108196,22059.7,0.23572396723436856
2007–08,89044.3,NSW,48111,16058.1,5229,137155.3,0.35077754924527166,21287.1,0.24564172667953832
2008–09,79110.7,NSW,48681,13806.3,5415,127791.7,0.380940233207634,19221.3,0.2817187182968894
2009–10,81851.8,NSW,52400,15926.5,5716,134251.8,0.3903113403321222,21642.5,0.2641099688113665
2010–11,79149.3,NSW,48087,14200.9,4669,127236.3,0.3779345988526859,18869.9,0.2474310939644619
2011–12,77265.3,NSW,46959,13150.7,4289,124224.3,0.378017827429899,17439.7,0.24593312958365107
2012–13,80693.7,NSW,50134.5,12389.6,4186,130828.2,0.3832086660215458,16575.6,0.2525398778928063
2013–14,92479,NSW,53364.8,13614.5,4331,145843.8,0.36590379570471976,17945.5,0.24134184057284555
2014–15,89483.5,NSW,55756.1,12023.6,4903.6,145239.6,0.383890481659272,16927.2,0.2896876033839028
2015–16,91082,NSW,60232.4,11742,4783.6,151314.4,0.3980612552407438,16525.6,0.2894660405673622
2016–17,89305,NSW,64610.3,10574.4,4850.9,153915.3,0.4197782806517611,15425.3,0.31447686592805324
2017–18,99501.1,NSW,70727.5,11312,4599.2,170228.6,0.4154854119695515,15911.2,0.2890542510935693
2018–19,106233.7,NSW,76013,12451.3,4694,182246.7,0.417088485004118,17145.3,0.27377765335106413
2019–20,113173.6,NSW,84567,12886.5,4827,197740.6,0.4276663467188832,17713.5,0.2725040223558303
2020–21,102927,NSW,89331,11547.7,5007,192258,0.4646412633024373,16554.7,0.3024518716739053
2021–22,98013.1,NSW,94995,9419.8,5089,193008.1,0.4921814162203555,14508.8,0.3507526466696074
2022–23,95706.3,NSW,103605,9960.4,4399,199311.3,0.5198149828935941,14359.4,0.3063498474866638
2023–24,102932.9,NSW,98446,10471.4,4439,201378.9,0.48885955777889345,14910.4,0.29771166434166757
1999–00,89914,VIC,16896,5481,2667,106810,0.15818743563336765,8148,0.327319587628866
2000–01,108002,VIC,18971,6099,3091,126973,0.14940971702645445,9190,0.33634385201305766
2001–02,101656,VIC,20740.2,6756,3366.8,122396.2,0.16945133917556265,10122.8,0.33259572450310193
2002–03,89048,VIC,20700,6355,3211.6,109748,0.1886139155155447,9566.6,0.33570965651328577
2003–04,72214,VIC,23560.6,5674,2966.3,95774.6,0.24600050535319382,8640.3,0.34330983877874616
2004–05,85859,VIC,23946.2,5354,3245.8,109805.2,0.21807892522394204,8599.8,0.3774273820321403
2005–06,77502,VIC,21003.2,5475,2830.5,98505.2,0.2132192006107292,8305.5,0.3407982662091385
2006–07,74631,VIC,20121,5520,2561,94752,0.21235435663627153,8081,0.31691622323969804
2007–08,67830,VIC,17100.3,6404,2223,84930.3,0.20134510298444724,8627,0.2576793786947954
2008–09,54284,VIC,15498.6,4886,1678,69782.6,0.22209834543281562,6564,0.25563680682510664
2009–10,47663,VIC,17598.3,4612,1969,65261.3,0.26965904755191816,6581,0.2991946512688041
2010–11,51258.2,VIC,12234.2,5549,2158,63492.399999999994,0.19268762875556764,7707,0.280005190086934
2011–12,55474.5,VIC,17881.9,5401,2004.1,73356.4,0.24376741497674373,7405.1,0.270637803675845
2012–13,55745.1,VIC,21198.7,4504,2457,76943.8,0.2755088779082915,6961,0.3529665277977302
2013–14,54840.5,VIC,25394.7,4356,2418.5,80235.2,0.3165032305023232,6774.5,0.3570005166432947
2014–15,58741.7,VIC,29054.1,3802,2869.7,87795.79999999999,0.33092813095842855,6671.7,0.4301302516599967
2015–16,57809.9,VIC,27584.5,4476.5,2670,85394.4,0.3230246948277639,7146.5,0.37360945917582034
2016–17,54362.3,VIC,39319.9,4845,3147,93682.20000000001,0.4197158051369417,7992,0.39376876876876876
2017–18,62770.1,VIC,48269.3,3960.8,3362,111039.4,0.43470425812819596,7322.8,0.4591140001092478
2018–19,71596.2,VIC,59633.4,4221.9,3327.4,131229.6,0.4544203441906399,7549.299999999999,0.44075609659173703
2019–20,62254.8,VIC,48390.1,2944.2,3288.9,110644.9,0.4373459599131998,6233.1,0.5276507676757953
2020–21,45110.8,VIC,51624.3,3320,3522.9,96735.1,0.5336666835512652,6842.9,0.5148255856435138
2021–22,49353.3,VIC,53937.6,3556.5,4200.3,103290.9,0.5221912094869926,7756.8,0.5414990717821783
2022–23,49848.4,VIC,55720.4,3201.3,3942.4,105568.8,0.5278112472624488,7143.700000000001,0.5518708792362501
2023–24,47210.8,VIC,59047,2666.1,4010.6,106257.8,0.5556956759880216,6676.7,0.6006859676187338
1999–00,227022,QLD,54481,28049,3317,281503,0.1935361257251255,31366,0.10575145061531595
2000–01,253634,QLD,53678,31564,3350,307312,0.17466939136773052,34914,0.09595004869106949
2001–02,234008,QLD,70755,31410,4604,304763,0.23216400941059118,36014,0.12783917365468983
2002–03,228120,QLD,62912,28659,4375,291032,0.21616866873745844,33034,0.13243930495852757
2003–04,237792,QLD,68640,30326,4792,306432,0.22399749373433583,35118,0.13645423999088788
